JV1,JV2,JV3,JV4,JV5,JV6
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,0.00023596387448381222,0.000657254106317295,-0.0019195747754166526,0.0,-0.0
-0.0,-0.0,0.0,-2.583546061721346e-06,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,2.0668368493770768e-05,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,3.513622501712913e-05,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,4.133673800345665e-06,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,1.2056548457352135e-05,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,2.8935715078546977e-05,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,2.0668369001728327e-06,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,8.26734760069133e-06,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,4.133673800345665e-06,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,-1.5501275862370517e-05,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,-4.6503827587111544e-05,-0.0
-0.0,-0.0,0.0,-0.0,-0.00016276340265038115,-0.0
-0.0,-0.0,0.0,-0.0,0.0,-0.0
-0.0,-0.0,0.0,-0.0,-0.00015759631205081114,-0.0
-0.0,-0.0,0.0,-0.0,-0.00011884311629939412,-0.0
-0.0,-0.0,0.0,-0.0,-7.750637931185258e-06,-0.0
-0.0,-0.0,0.0,-0.0,-3.616964638797153e-05,-0.0
-0.0,-0.0,0.0,-0.0,-0.0005089585866040655,-0.0
-0.0,-0.0,0.0,-0.0,-0.00010850893510025409,-0.0
-0.0,-0.0,0.0,-0.0,-0.0007543954225929248,-0.0
-0.0,-0.0,0.0,-0.0,-0.001017917173208131,-0.0
-0.0,-0.0,0.0,-0.0,-0.0012349349783900712,-0.0
-0.0,-0.0,0.0,-0.0,-0.001304690799012118,-0.0
-0.0,-0.0,0.0,-0.0,-0.0025990472867879603,-0.0
-0.0,-0.0,0.0,-0.0,-0.004585794435054726,-0.0
-0.0,-0.0,0.0,-0.0,-0.005050832719053163,-0.0
-0.0,-0.0,0.0,-0.0,-0.006309019507613448,-0.0
-0.0,-0.0,0.0,-0.0,-0.007590458496455352,-0.0
-0.0,-0.0,0.0,-0.0,-0.009848477933708827,-0.0
-0.0,-0.0,0.0,-0.0,-0.012199504611643156,-0.0
-0.0,-0.0,0.0,-0.0,-0.014392934603669909,-0.0
-0.0,-0.0,0.0,-0.0,-0.016818884517918693,-0.0
-0.0,-0.0,0.0,-0.0,-0.020045734190305076,-0.0
-0.0,-0.0,0.0,-0.0,-0.02090088752198749,-0.0
-0.0,-0.0,0.0,-0.0,-0.02281787832948367,-0.0
-0.0,-0.0,0.0,-0.0,-0.023171824848286313,-0.0
-0.0,-0.0,0.0,-0.0,-0.022998727735821407,-0.0
-0.0,-0.0,0.0,-0.0,-0.023466349597628913,-0.0
-0.0,-0.0,0.0,-0.0,-0.023352672174029882,-0.0
-0.0,-0.0,0.0,-0.0,-0.023375924894460044,-0.0
-0.0,-0.0,0.0,-0.0,-0.024063147228998612,-0.0
-0.0,-0.0,0.0,-0.0,-0.02554351910839611,-0.0
-0.0,-0.0,0.0,-0.0,-0.026760369172159834,-0.0
-0.0,-0.0,0.0,-0.0,-0.02924574085586866,-0.0
-0.0,-0.0,0.0,-0.0,-0.030888877617088955,-0.0
-0.0,-0.0,0.0,-0.0,-0.032625019018247395,-0.0
-0.0,-0.0,0.0,-0.0,-0.03459368138192495,-0.0
-0.0,-0.0,0.0,-0.0,-0.034926959278255044,-0.0
-0.0,-0.0,0.0,-0.0,-0.03642024748625226,-0.0
-0.0,-0.0,0.0,-0.0,-0.03918980960806741,-0.0
-0.0,-0.0,0.0,-0.0,-0.03863692915841209,-0.0
-0.0,-0.0,0.0,-0.0,-0.03810730559037527,-0.0
-0.0,-0.0,0.0,-0.0,-0.03715655727901459,-0.0
-0.0,-0.0,0.0,-0.0,-0.037476918846744964,-0.0
-0.0,-0.0,0.0,-0.0,-0.036588180563990276,-0.0
-0.0,-0.0,0.0,-0.0,-0.038471584339820016,-0.0
-0.0,-0.0,0.0,-0.0,-0.04157184026000765,-0.0
-0.0,-0.0,0.0,-0.0,-0.04399778809366227,-0.0
-0.0,-0.0,0.0,-0.0,-0.04806945678649479,-0.0
-0.0,-0.0,0.0,-0.0,-0.05397544387752745,-0.0
-0.0,-0.0,0.0,-0.0,-0.05774225559037527,-0.0
-0.0,-0.0,0.0,-0.0,-0.059770339723512866,-0.0
-0.0,-0.0,0.0,-0.0,-0.06220403985104032,-0.0
-0.0,-0.0,0.0,-0.0,-0.06420628716579015,-0.0
-0.0,-0.0,0.0,-0.0,-0.06904010246977277,-0.0
-0.0,-0.0,0.0,-0.0,-0.07340629175075955,-0.0
-0.0,-0.0,0.0,-0.0,-0.07609576764183044,-0.0
-0.0,-0.0,0.0,-0.0,-0.0778603278787401,-0.0
-0.0,-0.0,0.0,-0.0,-0.07793783417271509,-0.0
-0.0,-0.0,0.0,-0.0,-0.0809037461274253,-0.0
-0.0,-0.0,0.0,-0.0,-0.08396008070471023,-0.0
-0.0,-0.0,0.0,-0.0,-0.08606825522978041,-0.0
-0.0,-0.0,0.0,-0.0,-0.08670639010609521,-0.0
-0.0,-0.0,0.0,-0.0,-0.08379473172492982,-0.0
-0.0,-0.0,0.0,-0.0,-0.08234536485983532,-0.0
-0.0,-0.0,0.0,-0.0,-0.0828879089176602,-0.0
-0.0,-0.0,0.0,-0.0,-0.08366039192064074,-0.0
-0.0,-0.0,0.0,-0.0,-0.0854378684861501,-0.0
-0.0,-0.0,0.0,-0.0,-0.08414092594985963,-0.0
-0.0,-0.0,0.0,-0.0,-0.08207150873296526,-0.0
-0.0,-0.0,0.0,-0.0,-0.08151862828330994,-0.0
-0.0,-0.0,0.0,-0.0,-0.08114918133794997,-0.0
-0.0,-0.0,0.0,-0.0,-0.08177439988566505,-0.0
-0.0,-0.0,0.0,-0.0,-0.07789132873185477,-0.0
-0.0,-0.0,0.0,-0.0,-0.07792232958496942,-0.0
-0.0,-0.0,0.0,-0.0,-0.07716793942888049,-0.0
-0.0,-0.0,0.0,-0.0,-0.08056530003517999,-0.0
-0.0,-0.0,0.0,-0.0,-0.0825468828886456,-0.0
-0.0,-0.0,0.0,-0.0,-0.08121377130332523,-0.0
-0.0,-0.0,0.0,-0.0,-0.08046196108400558,-0.0
-0.0,-0.0,0.0,-0.0,-0.07850104269182417,-0.0
-0.0,-0.0,0.0,-0.0,-0.07632569826460944,-0.0
-0.0,-0.0,0.0,-0.0,-0.07478848871370952,-0.0
-0.0,-0.0,0.0,-0.0,-0.0747678242524253,-0.0
-0.0,-0.0,0.0,-0.0,-0.07360006164688535,-0.0
-0.0,-0.0,0.0,-0.0,-0.07424853291503059,-0.0
-0.0,-0.0,0.0,-0.0,-0.07429245009674497,-0.0
-0.0,-0.0,0.0,-0.0,-0.07690441137146421,-0.0
-0.0,-0.0,0.0,-0.0,-0.0804671292799208,-0.0
-0.0,-0.0,0.0,-0.0,-0.08244612387424045,-0.0
-0.0,-0.0,0.0,-0.0,-0.08362680280838014,-0.0
-0.0,-0.0,0.0,-0.0,-0.08222393306176928,-0.0
-0.0,-0.0,0.0,-0.0,-0.08224460584543017,-0.0
-0.0,-0.0,0.0,-0.0,-0.08396524890062544,-0.0
-0.0,-0.0,0.0,-0.0,-0.08541719570248922,-0.0
-0.0,-0.0,0.0,-0.0,-0.08303000517701044,-0.0
-0.0,-0.0,0.0,-0.0,-0.0819164961450153,-0.0
-0.0,-0.0,0.0,-0.0,-0.08193199241038429,-0.0
-0.0,-0.0,0.0,-0.0,-0.08579439910291037,-0.0
-0.0,-0.0,0.0,-0.0,-0.08942686685028077,-0.0
-0.0,-0.0,0.0,-0.0,-0.09139294511600071,-0.0
