JT1,JT2,JT3,JT4,JT5,JT6
0.0,0.0,0.0,0.0,-0.12307477742433548,0.042013882792161894
11.000008600642719,-9.000025142911237,-5.000009371400715,4.000008177823782,-4.123084420288239,-3.25806248865762
11.000024287514107,-9.000071109960883,-5.00002677443768,4.000023413403142,-4.123102344256156,-3.2582039987492903
11.000045647117418,-9.000133831763234,-5.000050848690441,4.000044547998359,-4.123127159237786,-3.2583993787014265
11.000085737860122,-9.000251840162493,-5.000096845293133,4.000085051922695,-4.123174613541783,-3.258771880232204
11.000172851893492,-9.000509155382009,-5.000199346246058,4.0001756961334545,-4.123280494303794,-3.2595995219444514
11.000256437704726,-9.000756900530114,-5.000300133123906,4.000265181317071,-4.123384726747676,-3.2604110361728558
11.000331145158215,-9.000978891331119,-5.000391819707182,4.0003468159388,-4.123479626367148,-3.2611478069408415
11.000418721100113,-9.001239693099947,-5.000500938665027,4.0004442017971975,-4.123592648097592,-3.2620231852044923
11.000508175552572,-9.0015066492302,-5.000614001586842,4.000545329172948,-4.123709830811707,-3.2629287820409103
11.000629432915915,-9.001869311215634,-5.000769543254881,4.000684762043831,-4.123871146716504,-3.2641726256388495
11.00077061375494,-9.002292585546154,-5.000953573562139,4.000850126784101,-4.124062143780352,-3.265641764831067
11.000926290995588,-9.002760454570327,-5.001159743210906,4.001035813869709,-4.1242762651713765,-3.267284898232342
11.00109704661303,-9.003274860753796,-5.001389376550669,4.001243088077451,-4.124514910993794,-3.269112119084777
11.001283659293827,-9.00383835181512,-5.001644098691136,4.001473490298642,-4.124779795505958,-3.271135884076896
11.001486638136036,-9.004452674283653,-5.001925203551891,4.001728266497713,-4.125072290154065,-3.27336598883285
11.001714398312682,-9.005143592439184,-5.002245191031425,4.00201885099738,-4.125405437355241,-3.2759009251850393
11.001979798410188,-9.005950629886055,-5.002623605422235,4.002363173501844,-4.1257996473104805,-3.2788943604845286
11.002186133507976,-9.006579386020444,-5.002921597512375,4.002634777375966,-4.126110235097741,-3.281248679498206
11.002445964060202,-9.00737268239852,-5.003301216030022,4.002981300238908,-4.126506078057085,-3.2842445578483144
11.002725832088064,-9.008228927353022,-5.003715180689243,4.0033597726872845,-4.126937939948868,-3.2875076571990967
11.003020963472649,-9.009133720690487,-5.00415701963097,4.0037643464120665,-4.127399092646667,-3.2909865225273935
11.003333198004027,-9.010092875481176,-5.00462998172557,4.004198053163858,-4.127892946535201,-3.294706369417434
11.00366065925199,-9.011100795416056,-5.005131705235377,4.004658781873848,-4.128417054282645,-3.298648272467148
11.004012203386967,-9.012184965439397,-5.005676405596285,4.005159659121509,-4.128986290443898,-3.3029234526321076
11.004366279097882,-9.013279029411722,-5.006231000935372,4.00567029914068,-4.129566094828276,-3.307272039298617
11.004743261223254,-9.014446037335082,-5.006827672304372,4.006220361845151,-4.130190121355821,-3.311946175743441
11.005137395652545,-9.015668393984585,-5.007457935015798,4.006802093082781,-4.130849519570434,-3.316878961194592
11.0055498694893,-9.016949954171467,-5.0081241830383645,4.007417755867944,-4.1315468124049755,-3.322088789928849
11.005977288433828,-9.018280322262985,-5.008821364491894,4.008062727818817,-4.1322767283214645,-3.327535863532002
11.006421823484738,-9.019666392026465,-5.0095534110136155,4.008740687371403,-4.1330433976867065,-3.333250635566564
11.006883499546818,-9.021108391997531,-5.010320795500094,4.009452117652612,-4.133847331244388,-3.33923650815321
11.007363070735614,-9.022608830890022,-5.01112521024794,4.010198633035507,-4.134690317476182,-3.345506390300402
11.007858322177382,-9.024160917198394,-5.0119633356678435,4.010977193481026,-4.1355688915395685,-3.352034147615641
11.00837281404896,-9.025775953331346,-5.012841611898135,4.0117938236845605,-4.136489818860699,-3.3588696683721726
11.008903893855418,-9.027445761588595,-5.013755936624397,4.012644752222086,-4.137448812627503,-3.3659807493937106
11.009453206791418,-9.029175652180944,-5.01470953564688,4.013533020581522,-4.138449269723272,-3.3733922267697314
11.010019448692004,-9.030961654901137,-5.015700536689478,4.014456923620969,-4.139489239191973,-3.3810892998023725
11.010604726501239,-9.032810554773853,-5.016733026329563,4.015420310506157,-4.140573023003548,-3.389103456990839
11.011205860175076,-9.034712434668682,-5.017801762945338,4.0164183263859154,-4.14169513145574,-3.3973937824848535
11.011826080135506,-9.036677640983958,-5.018912850230809,4.017456705975864,-4.142861985023054,-3.406007399565536
11.012463903916274,-9.038701611982342,-5.020064020436677,4.018533367227722,-4.144071214921055,-3.4149264885381196
11.01312007173253,-9.040786823863709,-5.021256973962162,4.019649935260053,-4.145324619228206,-3.4241640008835277
11.013794192192208,-9.042932159791958,-5.0224913626267265,4.020806118612498,-4.146621843919268,-3.433717019801761
11.014485518866982,-9.045135360858689,-5.023766153226602,4.02200098091757,-4.147961813949477,-3.4435773481032896
11.015208149178378,-9.047441557373535,-5.025107922124628,4.0232594864934645,-4.14937248311843,-3.453950202342095
11.015955627540484,-9.049830397477926,-5.0265053995634785,4.0245711314229515,-4.15084202575326,-3.464748032757549
11.016673455824689,-9.052127561143859,-5.0278562631979815,4.025839838047537,-4.152262829265651,-3.4751804854339263
10.999448329332537,-9.047330865975514,-5.026778293495299,4.0238055589008805,-4.151995422028573,-3.4706365720991923
